entry	sub	record	desc	stride	verts	indices	restarts	minx	maxx	miny	maxy	minz	maxz
2	13	8	0	28	18	22	4	-15.6783	15.6783	-0.0000	1.8446	-0.0000	9.0519
2	13	9	0	28	24	29	5	-15.6783	15.6783	-0.0000	1.8446	0.0000	10.1736
2	13	10	0	28	18	22	4	-15.6783	15.6783	-0.0000	1.8446	-9.0518	0.0000
2	13	11	0	28	24	29	5	-15.6783	15.6782	-0.0000	1.8446	-10.1735	0.0000
2	13	12	0	28	18	22	4	-15.6783	15.6783	0.0000	1.8446	-9.0519	0.0000
2	13	13	0	28	24	29	5	-15.6783	15.6783	0.0000	1.8446	-10.1736	0.0000
2	13	14	0	28	18	22	4	-15.6783	15.6783	-0.0000	1.8446	-0.0000	9.0518
2	13	15	0	28	24	29	5	-15.6782	15.6784	-0.0000	1.8446	0.0000	10.1736
2	13	16	0	28	18	22	4	-15.6784	15.6782	-0.0000	1.8446	-9.0519	-0.0000
2	13	17	0	28	24	29	5	-15.6783	15.6782	-0.0001	1.8446	-10.1735	0.0000
2	13	18	0	28	18	22	4	-15.6783	15.6783	-0.0000	1.8446	-9.0518	0.0000
2	13	19	0	28	24	29	5	-15.6783	15.6783	-0.0000	1.8446	-10.1736	-0.0000
2	13	20	0	28	18	22	4	-15.6783	15.6783	-0.0000	1.8446	0.0000	9.0519
2	13	21	0	28	24	29	5	-15.6783	15.6783	-0.0000	1.8446	-0.0000	10.1736
2	13	22	0	28	18	22	4	-15.6783	15.6783	-0.0000	1.8446	-9.0518	0.0000
2	13	23	0	28	24	29	5	-15.6783	15.6783	-0.0000	1.8446	-10.1736	0.0000
2	13	24	0	28	18	22	4	-15.6783	15.6784	-0.0000	1.8446	-9.0519	-0.0000
2	13	25	0	28	24	29	5	-15.6783	15.6783	-0.0000	1.8446	-10.1736	0.0000
2	13	26	0	28	18	22	4	-15.6783	15.6783	-0.0000	1.8446	0.0001	9.0519
2	13	27	0	28	24	29	5	-15.6783	15.6783	0.0000	1.8446	-0.0000	10.1736
2	13	28	0	28	18	22	4	-15.6783	15.6783	-0.0000	1.8446	-9.0518	0.0000
2	13	29	0	28	24	29	5	-15.6783	15.6782	0.0000	1.8446	-10.1736	-0.0000
2	13	30	0	28	18	22	4	-15.6782	15.6784	-0.0000	1.8446	-9.0519	-0.0000
2	13	31	0	28	24	29	5	-15.6783	15.6783	-0.0000	1.8446	-10.1736	-0.0000
2	13	32	0	28	18	22	4	-15.6783	15.6783	0.0000	1.8446	-0.0000	9.0519
2	13	33	0	28	24	29	5	-15.6783	15.6783	0.0000	1.8446	0.0000	10.1736
2	13	34	0	28	18	22	4	-15.6783	15.6783	-0.0000	1.8446	-9.0519	-0.0000
2	13	35	0	28	24	29	5	-15.6783	15.6783	0.0000	1.8446	-10.1736	0.0000
2	13	36	0	28	18	22	4	-15.6782	15.6783	0.0000	1.8446	-9.0519	-0.0000
2	13	37	0	28	24	29	5	-15.6783	15.6783	0.0000	1.8446	-10.1736	-0.0001
