entry,path,depth,offset,size,metadata_0,metadata_1,kind,prefix_hex
4,0.0.52,2,1413120,36864,0,0,ntxr,4e545852
4,0.0.53,2,1449984,20480,0,0,ntxr,4e545852
4,0.0.54,2,1470464,36864,0,0,ntxr,4e545852
4,0.0.55,2,1507328,36864,0,0,ntxr,4e545852
4,0.0.56,2,1544192,135168,0,0,ntxr,4e545852
4,0.0.57,2,1679360,69632,0,0,ntxr,4e545852
4,0.0.58,2,1748992,36864,0,0,ntxr,4e545852
4,0.0.59,2,1785856,20480,0,0,ntxr,4e545852
4,0.1,1,1900544,97370,0,0,binary,48415348
5,0,0,4096,2063450,0,0,fhm,46484d20
5,0.0,1,65536,1855488,0,0,fhm,46484d20
5,0.0.0,2,992,52,0,0,binary,00000f87
5,0.0.1,2,1056,127200,0,0,binary,00240000
5,0.0.2,2,128256,11808,0,0,binary,00200000
5,0.0.3,2,140064,96,0,0,binary,00000000
5,0.0.4,2,140160,512,0,0,binary,00000000
5,0.0.5,2,140672,358350,0,0,binary,00200021
