index	group	archive	codec	source_offset	stored_size	expanded_size	source_end
123	0x00010000	DATA00.PAC	mode1-xor-deflate	713162752	113073439	159506432	826236191
124	0x00010000	DATA00.PAC	mode1-xor-deflate	826245120	109458137	147574784	935703257
125	0x00010000	DATA00.PAC	mode1-xor-deflate	935723008	115598382	142225408	1051321390
126	0x00010000	DATA00.PAC	mode1-xor-deflate	1051328512	111681480	155332608	1163009992
127	0x00010000	DATA00.PAC	mode1-xor-deflate	1163034624	72241243	131502080	1235275867
128	0x00010000	DATA00.PAC	mode1-xor-deflate	1235288064	141784140	168288256	1377072204
129	0x00010000	DATA00.PAC	mode1-xor-deflate	1377075200	130712087	156790784	1507787287
130	0x00010000	DATA00.PAC	mode1-xor-deflate	1507819520	122843018	158105600	1630662538
131	0x00010000	DATA00.PAC	mode1-xor-deflate	1630666752	113979713	163561472	1744646465
132	0x00010000	DATA00.PAC	mode1-xor-deflate	1744666624	95723761	153915392	1840390385
133	0x00010000	DATA00.PAC	mode1-xor-deflate	1840414720	90072357	156815360	1930487077
134	0x00010000	DATA00.PAC	mode1-xor-deflate	1930493952	993066	2805760	1931487018
135	0x00010000	DATA00.PAC	mode1-xor-deflate	1931509760	294317	782336	1931804077
136	0x00010000	DATA00.PAC	mode1-xor-deflate	1931804672	301984	782336	1932106656
137	0x00010000	DATA00.PAC	mode1-xor-deflate	1932132352	294628	733184	1932426980
138	0x00010000	DATA00.PAC	mode1-xor-deflate	1932427264	295344	782336	1932722608
139	0x00010000	DATA00.PAC	mode1-xor-deflate	1932754944	295182	733184	1933050126
140	0x00010000	DATA00.PAC	mode1-xor-deflate	1933082624	292817	782336	1933375441
141	0x00010000	DATA00.PAC	mode1-xor-deflate	1933377536	321264	733184	1933698800
142	0x00010000	DATA00.PAC	mode1-xor-deflate	1933705216	307276	782336	1934012492
143	0x00010000	DATA00.PAC	mode1-xor-deflate	1934032896	294912	733184	1934327808
144	0x00010000	DATA00.PAC	mode1-xor-deflate	1934327808	295072	733184	1934622880
145	0x00010000	DATA00.PAC	mode1-xor-deflate	1934655488	296133	782336	1934951621
146	0x00010000	DATA00.PAC	mode1-xor-deflate	1934983168	29159465	39944192	1964142633
147	0x00010000	DATA00.PAC	mode1-xor-deflate	1964146688	29998367	39907328	1994145055
148	0x00010000	DATA00.PAC	mode1-xor-deflate	1994162176	28296866	39944192	2022459042
149	0x00010000	DATA00.PAC	mode1-xor-deflate	2022473728	29036768	39944192	2051510496
150	0x00010000	DATA00.PAC	mode1-xor-deflate	2051538944	151167	499712	2051690111
151	0x00010000	DATA00.PAC	mode1-xor-deflate	2051702784	149113	499712	2051851897
152	0x00010000	DATA00.PAC	mode1-xor-deflate	2051866624	142263	450560	2052008887
153	0x00010000	DATA00.PAC	mode1-xor-deflate	2052030464	152682	499712	2052183146
154	0x00010000	DATA00.PAC	mode1-xor-deflate	2052194304	142572	450560	2052336876
155	0x00010000	DATA00.PAC	mode1-xor-deflate	2052358144	151445	499712	2052509589
156	0x00010000	DATA00.PAC	mode1-xor-deflate	2052521984	169297	450560	2052691281
157	0x00010000	DATA00.PAC	mode1-xor-deflate	2052718592	154276	499712	2052872868
158	0x00010000	DATA00.PAC	mode1-xor-deflate	2052882432	142455	450560	2053024887
159	0x00010000	DATA00.PAC	mode1-xor-deflate	2053046272	142513	450560	2053188785
160	0x00010000	DATA00.PAC	mode1-xor-deflate	2053210112	152908	499712	2053363020
161	0x00010000	DATA00.PAC	mode1-xor-deflate	2053373952	1307385	8228864	2054681337
162	0x00010000	DATA00.PAC	mode1-xor-deflate	2054684672	67640	93024	2054752312
163	0x00010000	DATA00.PAC	mode1-xor-deflate	2054782976	1000353	7836352	2055783329
164	0x00010000	DATA00.PAC	mode1-xor-deflate	2055798784	9897202	10481664	2065695986
165	0x00010000	DATA00.PAC	mode1-xor-deflate	2065727488	830649	2422384	2066558137
166	0x00010000	DATA00.PAC	mode1-xor-deflate	2066579456	840957	2470232	2067420413
167	0x00020000	DATA00.PAC	mode1-xor-raw	2067431424	2736	2736	2067434160
168	0x00020000	DATA00.PAC	mode1-xor-raw	2067464192	52	52	2067464244
169	0x00010000	DATA00.PAC	mode1-xor-deflate	2067496960	788	131904	2067497748
170	0x00010000	DATA00.PAC	mode1-xor-deflate	2067529728	852245	6410240	2068381973
171	0x00010000	DATA00.PAC	mode1-xor-deflate	2068414464	845604	6410240	2069260068
172	0x00010000	DATA00.PAC	mode1-xor-deflate	2069266432	825081	5357568	2070091513
173	0x00010000	DATA00.PAC	mode1-xor-deflate	2070118400	825081	5357568	2070943481
174	0x00010000	DATA00.PAC	mode1-xor-deflate	2070970368	825081	5357568	2071795449
175	0x00010000	DATA00.PAC	mode1-xor-deflate	2071822336	825081	5357568	2072647417
176	0x00010000	DATA00.PAC	mode1-xor-deflate	2072674304	825081	5357568	2073499385
177	0x00010000	DATA00.PAC	mode1-xor-deflate	2073526272	1587921	6897664	2075114193
178	0x00010000	DATA00.PAC	mode1-xor-deflate	2075131904	1503334	6627328	2076635238
179	0x00010000	DATA00.PAC	mode1-xor-deflate	2076639232	1577612	6897664	2078216844
180	0x00010000	DATA00.PAC	mode1-xor-deflate	2078244864	1577612	6897664	2079822476
181	0x00010000	DATA00.PAC	mode1-xor-deflate	2079850496	1577612	6897664	2081428108
182	0x00010000	DATA00.PAC	mode1-xor-deflate	2081456128	1577612	6897664	2083033740
183	0x00010000	DATA00.PAC	mode1-xor-deflate	2083061760	1577612	6897664	2084639372
184	0x00010000	DATA00.PAC	mode1-xor-deflate	2084667392	42206	679936	2084709598
185	0x00010000	DATA00.PAC	mode1-xor-deflate	2084732928	161118	5705728	2084894046
186	0x00010000	DATA00.PAC	mode1-xor-deflate	2084896768	124363	4526080	2085021131
187	0x00010000	DATA00.PAC	mode1-xor-deflate	2085027840	553854	4005888	2085581694
188	0x00010000	DATA00.PAC	mode1-xor-deflate	2085584896	36703	1126400	2085621599
189	0x00010000	DATA00.PAC	mode1-xor-deflate	2085650432	35463	1146880	2085685895
190	0x00010000	DATA00.PAC	mode1-xor-deflate	2085715968	28364	929792	2085744332
191	0x00010000	DATA00.PAC	mode1-xor-deflate	2085748736	177344	2641920	2085926080
192	0x00010000	DATA00.PAC	mode1-xor-deflate	2085945344	493644	4288512	2086438988
193	0x00010000	DATA00.PAC	mode1-xor-deflate	2086469632	2492539	12935168	2088962171
194	0x00010000	DATA00.PAC	mode1-xor-deflate	2088992768	1077020	5238784	2090069788
195	0x00010000	DATA00.PAC	mode1-xor-deflate	2090074112	34939	1118208	2090109051
196	0x00010000	DATA00.PAC	mode1-xor-deflate	2090139648	34348	851968	2090173996
197	0x00010000	DATA00.PAC	mode1-xor-deflate	2090205184	935216	4075520	2091140400
198	0x00010000	DATA00.PAC	mode1-xor-deflate	2091155456	935196	4075520	2092090652
199	0x00010000	DATA00.PAC	mode1-xor-deflate	2092105728	935216	4075520	2093040944
200	0x00010000	DATA00.PAC	mode1-xor-deflate	2093056000	935216	4075520	2093991216
201	0x00010000	DATA00.PAC	mode1-xor-deflate	2094006272	935216	4075520	2094941488
202	0x00010000	DATA00.PAC	mode1-xor-deflate	2094956544	935216	4075520	2095891760
203	0x00010000	DATA00.PAC	mode1-xor-deflate	2095906816	935216	4075520	2096842032
204	0x00010000	DATA00.PAC	mode1-xor-deflate	2096857088	60284	2035712	2096917372
205	0x00010000	DATA00.PAC	mode1-xor-deflate	2096922624	89587	3657728	2097012211
206	0x00010000	DATA00.PAC	mode1-xor-deflate	2097020928	104259	4317184	2097125187
207	0x00010000	DATA00.PAC	mode1-xor-deflate	2097152000	113067	4620288	2097265067
208	0x00010000	DATA00.PAC	mode1-xor-deflate	2097283072	87261	4190208	2097370333
209	0x00010000	DATA00.PAC	mode1-xor-deflate	2097381376	28364	929792	2097409740
210	0x00010000	DATA00.PAC	mode1-xor-deflate	2097414144	943180	7471288	2098357324
211	0x00010000	DATA00.PAC	mode1-xor-deflate	2098364416	1567233	8204632	2099931649
212	0x00010000	DATA00.PAC	mode1-xor-deflate	2099937280	1979234	8829020	2101916514
213	0x00010000	DATA00.PAC	mode1-xor-deflate	2101936128	2075386	8937672	2104011514
214	0x00010000	DATA00.PAC	mode1-xor-deflate	2104033280	2211881	9406608	2106245161
215	0x00010000	DATA00.PAC	mode1-xor-deflate	2106261504	1720370	8556676	2107981874
216	0x00010000	DATA00.PAC	mode1-xor-deflate	2107998208	1928665	9017540	2109926873
217	0x00010000	DATA00.PAC	mode1-xor-deflate	2109931520	3165891	10700932	2113097411
218	0x00010000	DATA00.PAC	mode1-xor-deflate	2113110016	2428040	9474188	2115538056
219	0x00010000	DATA00.PAC	mode1-xor-deflate	2115567616	1933482	9060508	2117501098
220	0x00010000	DATA00.PAC	mode1-xor-deflate	2117533696	1543391	8906848	2119077087
221	0x00010000	DATA00.PAC	mode1-xor-deflate	2119106560	2868333	9869488	2121974893
222	0x00010000	DATA00.PAC	mode1-xor-deflate	2121990144	1059360	8284304	2123049504
223	0x00010000	DATA00.PAC	mode1-xor-deflate	2123071488	1327344	7678264	2124398832
224	0x00010000	DATA00.PAC	mode1-xor-deflate	2124414976	2918847	10148128	2127333823
225	0x00010000	DATA00.PAC	mode1-xor-deflate	2127364096	635275	856188	2127999371
226	0x00010000	DATA00.PAC	mode1-xor-deflate	2128019456	59224	1957888	2128078680
227	0x00010000	DATA00.PAC	mode1-xor-deflate	2128084992	628710	3793012	2128713702
228	0x00010000	DATA00.PAC	mode1-xor-deflate	2128740352	474875	4050944	2129215227
229	0x00010000	DATA00.PAC	mode1-xor-deflate	2129231872	3686035	12677120	2132917907
230	0x00010000	DATA00.PAC	mode1-xor-deflate	2132934656	158325	2482176	2133092981
231	0x00010000	DATA00.PAC	mode1-xor-deflate	2133098496	49881	1777664	2133148377
232	0x00010000	DATA00.PAC	mode1-xor-deflate	2133164032	493572	542876	2133657604
233	0x00010000	DATA00.PAC	mode1-xor-deflate	2133688320	147372	163956	2133835692
234	0x00010000	DATA00.PAC	mode1-xor-deflate	2133852160	224097	254096	2134076257
235	0x00010000	DATA00.PAC	mode1-xor-deflate	2134081536	243116	276600	2134324652
236	0x00010000	DATA00.PAC	mode1-xor-deflate	2134343680	296523	323752	2134640203
237	0x00010000	DATA00.PAC	mode1-xor-deflate	2134671360	293317	323704	2134964677
238	0x00010000	DATA00.PAC	mode1-xor-deflate	2134966272	239116	262248	2135205388
239	0x00010000	DATA00.PAC	mode1-xor-deflate	2135228416	237717	272496	2135466133
240	0x00010000	DATA00.PAC	mode1-xor-deflate	2135490560	226895	260212	2135717455
241	0x00010000	DATA00.PAC	mode1-xor-deflate	2135719936	126258	149624	2135846194
242	0x00010000	DATA00.PAC	mode1-xor-deflate	2135851008	719525	796760	2136570533
243	0x00010000	DATA00.PAC	mode1-xor-deflate	2136571904	249077	278688	2136820981
244	0x00010000	DATA00.PAC	mode1-xor-deflate	2136834048	307091	342172	2137141139
245	0x00010000	DATA00.PAC	mode1-xor-deflate	2137161728	343163	385140	2137504891
246	0x00020000	DATA00.PAC	mode1-xor-raw	2137522176	100	100	2137522276
247	0x00020000	DATA00.PAC	mode1-xor-raw	2137554944	100	100	2137555044
248	0x00010000	DATA00.PAC	mode1-xor-deflate	2137587712	553888	608436	2138141600
249	0x00010000	DATA00.PAC	mode1-xor-deflate	2138144768	145641	161900	2138290409
250	0x00010000	DATA00.PAC	mode1-xor-deflate	2138308608	274991	303260	2138583599
