# The 1619 locator-like words the RTTI sweep refused, named at last.
# Produced by scripts/Ac6RttiRejects.java, read-only, no oracle. It re-runs
# SweepMsvcRtti's identical scan - same 811 vtables, same 1619 refusals -
# and records which step of the chain refused each candidate.
#
# reason is the first step that failed, in the sweep's own order:
# signature, type_out_of_range, hierarchy_out_of_range, name_unreadable,
# name_not_rtti, slot_unreadable, slot_not_code.
#
# Not one candidate reached the vtable test. Every refusal happened on the
# name, which is to say the word never pointed at a type descriptor at all,
# so no class was lost to this filter.
#
# name_bytes is the hex of whatever the sweep read where a decorated name
# should be, and empty when it could not be read at all. It is binary, and
# that is the point.
# image range 82000400..82ac3083
# hierarchy_out_of_range=1 name_not_rtti=1096 name_unreadable=522
# columns: at target reason block name_bytes following_word
0x8206b8d0	0x8206b8d4	name_not_rtti	.rdata	8206b6e48206b698	0x00000000
0x8206b910	0x8206b8d4	name_not_rtti	.rdata	8206b6e48206b698	0x00000000
0x8206b924	0x8206b928	name_not_rtti	.rdata	8206b6e48206b698	0x00000000
0x8206b964	0x8206b928	name_not_rtti	.rdata	8206b6e48206b698	0x00000000
0x8206b99c	0x8206b968	name_unreadable	.rdata		0x00000000
0x8206b9b0	0x8206b9b4	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206b9ec	0x8206b9b4	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206ba00	0x8206ba04	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206ba3c	0x8206ba04	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206ba50	0x8206ba54	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206ba8c	0x8206ba54	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206baa0	0x8206baa4	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206badc	0x8206baa4	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206baf0	0x8206baf4	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206bb2c	0x8206baf4	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206bb40	0x8206bb44	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206bb7c	0x8206bb44	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206bb90	0x8206bb94	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206bbcc	0x8206bb94	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206bbe0	0x8206bbe4	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206bc1c	0x8206bbe4	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206bc30	0x8206bc34	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206bc70	0x8206bc34	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206bc84	0x8206bc88	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206bcc4	0x8206bc88	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206bcd8	0x8206bcdc	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206bd18	0x8206bcdc	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206bd2c	0x8206bd30	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206bd6c	0x8206bd30	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206bda4	0x8206bd70	name_unreadable	.rdata		0x00000000
0x8206bddc	0x8206bda8	name_unreadable	.rdata		0x00000000
0x8206bdf0	0x8206bdf4	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206be2c	0x8206bdf4	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206be40	0x8206be44	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206be7c	0x8206be44	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206be90	0x8206be94	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206becc	0x8206be94	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206bee0	0x8206bee4	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206bf1c	0x8206bee4	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206bf30	0x8206bf34	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206bf6c	0x8206bf34	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206bf80	0x8206bf84	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206bfbc	0x8206bf84	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206bfd0	0x8206bfd4	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206c00c	0x8206bfd4	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206c020	0x8206c024	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206c05c	0x8206c024	name_not_rtti	.rdata	8206aab4	0x00000000
0x8206c070	0x8206c074	name_unreadable	.rdata		0x00000000
0x8206c0a8	0x8206c074	name_unreadable	.rdata		0x00000000
0x8206c0bc	0x8206c0c0	name_unreadable	.rdata		0x00000000
0x8206c0f4	0x8206c0c0	name_unreadable	.rdata		0x00000000
0x8206c108	0x8206c10c	name_not_rtti	.rdata	8268eaa4	0x00000000
0x8206c13c	0x8206c10c	name_not_rtti	.rdata	8268eaa4	0x00000000
0x8206c150	0x8206c154	name_unreadable	.rdata		0x00000000
0x8206c188	0x8206c154	name_unreadable	.rdata		0x00000000
0x8206c19c	0x8206c1a0	name_not_rtti	.rdata	8268eae8	0x00000000
0x8206c1d0	0x8206c1a0	name_not_rtti	.rdata	8268eae8	0x00000000
0x8206c1e4	0x8206c1e8	name_unreadable	.rdata		0x00000000
0x8206c21c	0x8206c1e8	name_unreadable	.rdata		0x00000000
0x8206c230	0x8206c234	name_not_rtti	.rdata	8268eb34	0x00000000
0x8206c264	0x8206c234	name_not_rtti	.rdata	8268eb34	0x00000000
0x8206c278	0x8206c27c	name_not_rtti	.rdata	8268eb60	0x00000000
0x8206c2ac	0x8206c27c	name_not_rtti	.rdata	8268eb60	0x00000000
0x8206c2c0	0x8206c2c4	name_unreadable	.rdata		0x00000000
0x8206c2f8	0x8206c2c4	name_unreadable	.rdata		0x00000000
